ano;disciplina;alunos_distintos;media_notas;mediana_notas;menor_nota;maior_nota;quantidade_notas;frequencia_media;total_faltas_horas;percentual_notas_abaixo_6;registros
2024;DIARIO CLASSE TEPEC I 2B 4BIM 2024;12;7,98;9,0;0,0;10,0;12;94,44;14,0;8,33;12
2024;DIREITO A 1º B ASSIN;19;6,92;8,0;0,0;10,0;19;70,39;90,0;15,79;19
2024;DIREITO A 2ºB ASSI;19;6,84;8,0;0,0;10,0;19;70,39;90,0;26,32;19
2024;DIREITO B 1ºBIM ASSIN;10;7,62;8,0;0,0;10,0;10;82,5;28,0;10,0;10
2024;DIREITO B 2ºBIM ASSIN;10;7,0;7,5;0,0;10,0;10;87,5;28,0;10,0;10
2024;DIÁRIO 1º A I CONTABILIDADE ECON 2024 1ºBIM ASSINADO;17;6,08;7,2;0,0;9,2;17;78,15;52,0;29,41;17
2024;DIÁRIO 1º A I CONTABILIDADE ECON 2024 2ºBIM;17;4,95;6,7;0,0;9,4;17;58,17;128,0;47,06;17
2024;DIÁRIO 1º A I CONTABILIDADE ECON 2024 2ºBIM ASSINADO;17;4,95;6,7;0,0;9,4;17;58,17;128,0;47,06;17
2024;DIÁRIO 1º A I CONTABILIDADE ECON 2024 3ºBIM ASSINADO;17;4,62;6,2;0,0;8,4;17;55,56;136,0;47,06;17
2024;DIÁRIO DE CLASSE ECONOMIA POLÍTICA TURMA A QUARTO BIMESTRE ANO LETIVO 2024;15;5,5;7,0;0,0;10,0;15;69,81;64,0;33,33;15
2024;DIÁRIO DE CLASSE ECONOMIA POLÍTICA TURMA B QUARTO BIMESTRE ANO LETIVO 2024;11;7,59;8,0;6,0;9,5;11;98,48;2,0;0,0;11
2024;EC 3 BIMESTRE 2024;17;6,38;7,5;0,0;8,0;17;68,63;96,0;17,65;17
2024;ECO.MONETARIA1BIMESTRE;24;6,31;6,8;0,0;9,2;24;75,27;191,0;25,0;24
2024;ECON 2 BIMESTRE;17;7,56;8,0;0,0;8,5;17;92,16;24,0;5,88;17
2024;ECONOMETRIA - 1O BIMESTRE;18;6,88;7,0;5,5;9,0;18;80,86;124,0;5,56;18
2024;ECONOMETRIA - 2O BIMESTRE;21;6,47;7,0;0,0;8,5;21;86,47;108,0;28,57;21
2024;ECONOMETRIA - 3O BIMESTRE;21;7,95;8,0;0,0;10,0;21;79,1;158,0;4,76;21
2024;ECONOMETRIA - 4O BIMESTRE;21;8,93;9,5;0,0;10,0;21;78,99;150,0;4,76;21
2024;ECONOMIA DO MEIO AMBIENTE 1BIMESTRE;21;6,8;7,4;0,0;9,3;21;80,95;64,0;14,29;21
2024;ECONOMIA E MEIO AMBIENTE 2BIMESTRE;21;8,56;9,9;0,0;10,0;21;66,14;128,0;9,52;21
2024;ECONOMIA E MEIO AMBIENTE 3BIMESTRE;21;8,55;9,0;0,0;10,0;21;85,19;56,0;9,52;21
2024;ECONOMIA E MEIO AMBIENTE 4BIMESTRE;21;8,36;9,0;0,0;10,0;42;76,98;116,0;9,52;42
2024;ECONOMIA INDUSTRIAL REGISTRO DE CLASSE;26;6,78;7,75;0,0;10,0;52;73,93;244,0;25,0;52
2024;ECONOMIA INDUSTRIAL-1B-LAIO;26;9,06;10,0;0,0;10,0;26;96,15;20,0;3,85;26
2024;ECONOMIA INDUSTRIAL-2B-LAIO;26;8,02;8,1;0,0;10,0;26;96,15;20,0;3,85;26
2024;ECONOMIA MONETARIA 4BIMESTRE;24;8,22;9,1;0,0;9,5;24;73,4;166,0;8,33;24
2024;ECONOMIA MONETÁRIA 2BIMESTRE;24;6,73;7,65;0,0;9,7;24;64,69;322,0;16,67;24
2024;ECONOMIA MONETÁRIA 3BIMESTRE;24;7,41;8,85;0,0;9,0;24;77,94;180,0;16,67;24
2024;ECONOMIA PARANAENSE 1BIME ANDRE BECHLIN;23;5,75;5,8;0,0;8,4;23;83,91;74,0;52,17;23
2024;ECONOMIA PARANAENSE 2BIME ANDRE BECHLIN;23;6,3;6,9;0,0;9,6;23;82,17;82,0;34,78;23
2024;ECONOMIA PARANAENSE 3BIME ANDRE BECHLIN;23;7,87;9,0;0,0;9,5;23;86,47;56,0;13,04;23
2024;ECONOMIA PARANAENSE 4BIME ANDRE BECHLIN;23;7,77;9,0;0,0;10,0;23;85,71;46,0;13,04;23
2024;ECONOMIA PRIM BIM;17;7,06;7,5;0,0;7,5;17;92,16;24,0;5,88;17
