ano;disciplina;alunos_distintos;media_notas;mediana_notas;menor_nota;maior_nota;quantidade_notas;frequencia_media;total_faltas_horas;percentual_notas_abaixo_6;registros
2023;ECONOMIA INTERNACIONAL 1B 2023;24;6,86;7,4;0,0;8,2;23;95,65;60,0;8,7;24
2023;ECONOMIA INTERNACIONAL E COMÉRCIO EXTERIOR;24;7,88;8,0;0,0;10,0;69;95,65;100,0;5,8;72
2023;ECONOMIA MONETÁRIA;26;7,97;8,2;0,0;10,0;72;84,72;396,0;11,11;78
2023;ECONOMIA PARANAENSE;20;5,83;6,4;0,0;9,6;54;86,01;136,0;38,89;60
2023;ECONOMIA PARANAENSE 4U 4BIME ANDRE BECHLIN;20;8,06;9,25;0,0;9,5;18;87,65;40,0;11,11;20
2023;ECONOMIA POLÍTICA;35;7,94;8,5;0,0;10,0;94;79,97;354,0;8,51;105
2023;ECONOMIA REGIONAL E URBANA;19;5,65;6,15;0,0;9,0;54;84,36;152,0;46,3;57
2023;ECONOMIA REGIONAL URBANA 4U 4BIME ANDRE BECHLIN;19;8,14;9,5;0,0;9,5;18;86,42;44,0;11,11;19
2023;ELABORAÇÃO E ANÁLISE DE PROJETOS;28;7,02;8,85;0,0;10,0;48;79,45;355,0;29,17;56
2023;ESTATÍSTICA ECONÔMICA;31;6,54;7,7;0,0;10,0;53;74,19;510,0;18,87;93
2023;FORMACAO ECONOMICA BRASIL 2A 4BIME ANDRE BECHLIN;18;4,07;6,4;0,0;7,5;15;60,74;106,0;46,67;18
2023;FORMACAO ECONOMICA BRASIL 2B 4BIME ANDRE BECHLIN;20;5,48;5,4;0,0;8,2;19;83,04;58,0;57,89;20
2023;FORMAÇÃO ECONÔMICA DO BRASIL;38;6,4;7,0;0,0;9,9;104;80,77;360,0;40,38;114
2023;HEG - 1º A;33;4,87;6,0;0,0;8,5;31;52,15;267,0;38,71;33
2023;HEG - 1º B;33;4,18;3,4;0,0;9,3;30;42,22;312,0;50,0;33
2023;HISTÓRIA DO PENSAMENTO ECONÔMICO;66;4,96;7,0;0,0;10,0;189;61,32;1278,0;41,27;198
2023;HISTÓRIA DO PENSAMENTO ECONÔMICO 1A 4BIM 2023;33;5,76;7,5;0,0;10,0;32;68,75;180,0;31,25;33
2023;HISTÓRIA DO PENSAMENTO ECONÔMICO 1B 4BIM 2023;33;4,66;6,5;0,0;10,0;31;51,61;240,0;48,39;33
2023;HISTÓRIA ECONÔMICA GERAL;66;4,56;7,0;0,0;10,0;184;57,69;1085,0;43,48;198
2023;INSTITUIÇÕES DE DIREITO E DIREITO TRIBUTÁRIO;38;6,2;7,0;0,0;9,5;35;63,81;88,0;25,71;38
2023;INTRODUÇÃO ECONOMIA 1A 4BIME ANDRE BECHLIN;25;4,46;6,1;0,0;8,3;24;57,64;366,0;45,83;25
2023;INTRODUÇÃO À ADMINISTRAÇÃO;96;5,3;7,1;0,0;9,5;180;63,32;1240,0;34,44;194
2023;INTRODUÇÃO À ADMINISTRAÇÃO (;31;4,11;7,0;0,0;8,0;27;46,83;258,0;48,15;31
2023;INTRODUÇÃO À CONTABILIDADE;63;4,24;4,3;0,0;10,0;181;59,11;1407,0;55,8;189
2023;INTRODUÇÃO À CONTABILIDADE (12524) CAMPUS DE CAMCPOO MNOTURROÃOLE E REGISTROS DE FREQUÊNCIAS E MÉDIAS (BIMESTRAIS OUTU SRNEOM: ESNOTITREAIS);63;5,32;8,0;0,0;10,0;58;50,65;430,0;44,83;63
2023;INTRODUÇÃO À ECONOMIA;66;4,05;4,7;0,0;10,0;185;61,45;2616,0;58,92;198
2023;INTRODUÇÃO À ECONOMIA (12496) CAMPUS DE CAMPCO OMNOUTRRÃOOLE E REGISTROS DE FREQUÊNCIAS E MÉDIAS (BIMESTRAIS OUT SUERNMO:ESTNROITAEIS);33;2,67;0,75;0,0;7,4;30;44,44;500,0;76,67;33
2023;MACROECONOMIA;30;6,75;7,51;0,0;10,0;80;76,6;674,0;28,75;90
2023;MACROECONOMIA - 4 BIMESTRE;30;6,8;7,5;0,0;10,0;20;83,55;146,0;20,0;30
2023;MATEMÁTICA APLICADA À ECONOMIA;65;3,49;4,1;0,0;10,0;139;60,2;1958,0;72,66;163
2023;MERCADO DE CAPITAIS (OPTATIVA);1;;;;;0;;;;3
2023;METEP - TURMA A - 4º BIM;33;5,58;8,5;0,0;10,0;32;55,9;254,0;37,5;33
2023;METEP - TURMA B - 4º BIM;33;4,9;8,3;0,0;9,5;30;52,96;254,0;43,33;33
2023;METODOLOGIA DA PESQUISA E DA EXTENSÃO EM ECONOMIA;66;5,06;7,8;0,0;10,0;186;53,47;1558,0;41,4;198
2023;MICROECONOMIA;34;5,75;6,8;0,0;10,0;94;76,32;798,0;38,3;98
2023;MICROECONOMIA - 4O BIMESTRE - 2O A;18;4,62;7,0;0,0;9,0;16;52,78;272,0;43,75;18
2023;MICROECONOMIA - 4O BIMESTRE - 2O B;15;9,29;10,0;7,0;10,0;14;93,23;36,0;0,0;15
2023;MONETÁRIA 4 BIMESTRE;26;8,4;9,0;0,7;10,0;22;76,85;128,0;9,09;26
2023;MONOGRAFIA;53;4,22;7,0;0,0;9,5;156;51,92;6360,0;48,08;159
2023;MONOGRAFIA (12550) CAMPUS DE CAMPOC OMONUTRRÃOOLE E REGISTROS DE FREQUÊNCIAS E MÉDIAS (BIMESTRAIS OU TSUERNMO:ESTNROIATEIS);30;4,84;7,2;0,0;9,5;29;58,62;768,0;41,38;30
2023;MONOGRAFIA (9423) CAMPUS DE CAMPOC OMONUTRRÃOOLE E REGISTROS DE FREQUÊNCIAS E MÉDIAS (BIMESTRAIS OU TSUERNMO:ESTNROIATEIS);23;3,45;0,0;0,0;8,7;23;43,48;1144,0;56,52;23
2023;PL: INTEGRAL;93;6,56;7,9;0,0;10,0;113;77,22;440,0;23,01;116
2023;PROJETOS;25;;;;;0;79,36;;;25
2023;REGISTRO DE CLASSE ECONOMIA POLÍTICA - A - QUARTO BIMESTRE ANO 2023-2024 EM PDF;15;7,62;8,0;0,0;10,0;12;80,21;38,0;8,33;15
2023;REGISTRO DE CLASSE ECONOMIA POLÍTICA - B- QUARTO BIMESTRE ANO 2023-2024 EM PDF;20;7,47;8,0;0,0;10,0;18;82,64;50,0;11,11;20
2023;SOCIOLOGIA - TURMA A - 4º BIM;32;6,23;8,5;0,0;9,0;31;64,52;198,0;29,03;32
2023;SOCIOLOGIA - TURMA B - 4º BIM;31;4,5;4,25;0,0;10,0;28;48,02;262,0;50,0;31
2023;SOCIOLOGIA E CIÊNCIA POLÍTICA;63;5,23;8,0;0,0;10,0;174;58,94;1430,0;39,66;187
2023;TEPEC 3B NOVA;25;7,93;9,0;0,0;9,5;21;90,48;40,0;9,52;25
2023;TEPEC 3B VERSO;2;7,25;7,25;7,0;7,5;2;100,0;0,0;0,0;2
2023;TEPEC1 2A 4BIM 2023;22;4,53;5,5;0,0;10,0;19;74,66;130,0;52,63;22
2023;TEPEC1 2B 4BIM 2023;20;7,35;8,5;0,0;10,0;20;90,0;54,0;15,0;20
2023;TÉCNICAS DE PESQUISA EM ECONOMIA I;42;6,09;7,0;0,0;10,0;117;88,03;372,0;28,21;126
2023;TÉCNICAS DE PESQUISA EM ECONOMIA II;27;7,9;8,8;0,0;10,0;71;94,37;94,0;8,45;81
2024;1BIMESTRE;12;6,62;7,3;0,0;8,5;12;88,54;22,0;16,67;12
2024;2º B 3º BIM;11;6,3;6,5;0,0;10,0;10;80,37;42,0;30,0;11
2024;2º B 4 BIMESTRE;11;8,0;9,0;0,0;10,0;10;90,0;26,0;10,0;11
2024;3ºBIM T A EST ECONO;7;8,94;9,4;7,5;9,6;7;91,6;20,0;0,0;7
2024;3ºBIM T B EST ECONO;11;7,1;7,8;0,0;9,6;10;82,94;58,0;10,0;11
2024;4 BIMESTRE;28;3,78;6,0;0,0;9,0;27;39,51;294,0;48,15;28
2024;4ªBIM T A EST ECONO;7;7,34;7,9;4,9;8,4;7;80,67;46,0;14,29;7
2024;4ºBIM T B EST ECONO;11;5,8;7,05;0,0;8,1;10;79,44;74,0;40,0;11
2024;ANÁLISE DE INVESTIMENTOS A 1B;16;6,63;9,05;0,0;9,9;16;81,03;88,0;31,25;16
